layers,size,batch,memory
3,128,24,2.038657294
3,256,24,4.077478158
3,512,24,8.155611406
3,1024,24,16.313843982
3,2048,8,10.894901518
5,128,24,3.39777947
5,256,24,6.79605019
5,512,24,13.59406619
5,1024,16,18.13629979
5,2048,8,18.18466331
7,128,24,4.756901646
7,256,24,9.514622222
7,512,24,19.032520974
7,1024,8,12.710998286
7,2048,4,12.790849806
14,128,24,9.513829262
14,256,24,19.029624334
14,512,8,12.699962126
14,1024,4,12.747805966
14,2048,2,12.937865486
21,128,24,14.270756878
21,256,16,19.031944974
21,512,8,19.050978574
21,1024,4,19.126401294
21,2048,2,19.426668814
